rnn_type,num_layers,hidden_size,dropout,bidirectional,loss,acc,f1,training_time
rnn,2,150,0.2,False,0.8437454343906471,0.7385321100917431,0.6842105263157895,156.93523502349854
rnn,2,150,0.2,True,1.0819709607000862,0.7327981651376146,0.6803840877914952,194.17281770706177
rnn,2,150,0.5,False,1.8174415323134911,0.7110091743119266,0.6294117647058823,171.5017261505127
rnn,2,150,0.5,True,1.7496292202600412,0.7431192660550459,0.6956521739130435,209.12277793884277
rnn,2,150,0.8,False,1.3252472590122903,0.7775229357798165,0.7657004830917874,169.2678349018097
rnn,2,150,0.8,True,1.9409811134849275,0.7362385321100917,0.6875,201.68553590774536
gru,2,150,0.2,False,1.745485616764719,0.7603211009174312,0.7303225806451613,199.0512351989746
gru,2,150,0.2,True,1.8476612557923155,0.7419724770642202,0.6879334257975035,291.8673403263092
gru,2,150,0.5,False,2.357108180278114,0.7408256880733946,0.6825842696629213,188.88777470588684
gru,2,150,0.5,True,2.1494839803108334,0.7706422018348624,0.7506234413965087,255.25994515419006
gru,2,150,0.8,False,2.6166994956391654,0.7545871559633027,0.716931216931217,179.45643067359924
gru,2,150,0.8,True,2.967399460518339,0.7190366972477065,0.6402349486049926,255.20477318763733
lstm,2,150,0.2,False,2.8254618061619112,0.7087155963302753,0.6220238095238095,184.24838399887085
lstm,2,150,0.2,True,2.6350351315060316,0.7488532110091743,0.7052489905787349,267.6815791130066
lstm,2,150,0.5,False,2.5131209923752715,0.7396788990825688,0.6825174825174826,184.69905877113342
lstm,2,150,0.5,True,2.681058405778718,0.7591743119266054,0.7244094488188977,267.5922019481659
lstm,2,150,0.8,False,2.1985497437833277,0.7522935779816514,0.7202072538860104,186.07738590240479
lstm,2,150,0.8,True,2.747072187024027,0.7568807339449541,0.7210526315789474,267.35829424858093
rnn,2,200,0.2,False,2.252105335141615,0.7545871559633027,0.7176781002638523,143.71823358535767
rnn,2,200,0.2,True,2.176447115913366,0.7534403669724771,0.7182175622542595,178.42122793197632
rnn,2,200,0.5,False,2.0030662984874135,0.7545871559633027,0.7325,143.57979774475098
rnn,2,200,0.5,True,2.5958738092865263,0.7649082568807339,0.7453416149068323,178.75987195968628
rnn,2,200,0.8,False,2.751805640757084,0.7373853211009175,0.6823855755894591,143.54828119277954
rnn,2,200,0.8,True,2.5544994665043697,0.7419724770642202,0.7074122236671001,177.80943870544434
gru,2,200,0.2,False,2.7579784836354,0.7477064220183486,0.7120418848167539,189.6847710609436
gru,2,200,0.2,True,2.6861280575311475,0.7373853211009175,0.6832641770401107,284.283136844635
gru,2,200,0.5,False,2.7513107735103404,0.7603211009174312,0.7260812581913499,190.62093114852905
gru,2,200,0.5,True,2.4855364443300068,0.7637614678899083,0.7282321899736148,281.11706614494324
gru,2,200,0.8,False,2.5201563324241567,0.7775229357798165,0.7679425837320574,190.6162669658661
gru,2,200,0.8,True,2.9495425314561152,0.7431192660550459,0.6948228882833788,282.16601848602295
lstm,2,200,0.2,False,2.8134152828892445,0.7408256880733946,0.6937669376693767,198.98033952713013
lstm,2,200,0.2,True,3.2478786897433696,0.7419724770642202,0.6930422919508867,306.3039925098419
lstm,2,200,0.5,False,2.72269924687706,0.7477064220183486,0.7374701670644391,200.4419229030609
lstm,2,200,0.5,True,3.1438679386462485,0.7614678899082569,0.7255936675461742,306.3222417831421
lstm,2,200,0.8,False,2.715028430056009,0.7568807339449541,0.7232375979112271,200.03276371955872
lstm,2,200,0.8,True,2.663000405972915,0.7568807339449541,0.7188328912466844,305.7324893474579
rnn,2,400,0.2,False,2.68124690944595,0.7373853211009175,0.6867305061559508,173.37054896354675
rnn,2,400,0.2,True,2.3857345917676867,0.7580275229357798,0.7479091995221028,251.91117072105408
rnn,2,400,0.5,False,2.697561747261456,0.7488532110091743,0.7166882276843467,170.6148805618286
rnn,2,400,0.5,True,2.550932909362018,0.7362385321100917,0.7028423772609819,251.70041394233704
rnn,2,400,0.8,False,2.7205634750262107,0.7477064220183486,0.7243107769423559,170.95461916923523
rnn,2,400,0.8,True,2.360472858544589,0.7568807339449541,0.7408312958435208,251.04719758033752
gru,2,400,0.2,False,2.978197660067053,0.7419724770642202,0.6938775510204082,316.1514091491699
gru,2,400,0.2,True,3.1014240051029316,0.75,0.7101063829787234,542.1226966381073
gru,2,400,0.5,False,3.186256049999169,0.7672018348623854,0.7446540880503144,310.9414448738098
gru,2,400,0.5,True,3.2466307207934864,0.75,0.7046070460704607,545.5520679950714
gru,2,400,0.8,False,2.617096022835755,0.7614678899082569,0.7419354838709677,308.359393119812
gru,2,400,0.8,True,2.9240758951219976,0.7694954128440367,0.7439490445859872,540.2160694599152
lstm,2,400,0.2,False,3.632020257942908,0.7362385321100917,0.6883468834688347,393.8402943611145
lstm,2,400,0.2,True,3.4824463533503667,0.7419724770642202,0.6887966804979253,709.0766866207123
lstm,2,400,0.5,False,2.899270227977208,0.7408256880733946,0.6869806094182825,408.48215532302856
lstm,2,400,0.5,True,3.059514819510501,0.7591743119266054,0.7355163727959698,736.8401913642883
lstm,2,400,0.8,False,3.375831550294866,0.7603211009174312,0.731016731016731,374.8629035949707
